system:time_start,Ec,Ei,Es,
26-Feb-00,0.654,0,0.002,0.656
26-Mar-00,0.634,0.002,0.136,0.772
26-Apr-00,0.519,0.016,0.764,1.299
26-May-00,0.359,0.047,2.755,3.161
26-Jun-00,0.471,0.097,2.43,2.998
26-Jul-00,0.745,0.129,1.842,2.716
26-Aug-00,1.135,0.065,1.85,3.05
26-Sep-00,1.335,0.05,1.868,3.253
26-Oct-00,1.003,0.006,0.623,1.632
26-Nov-00,0.779,0,0.026,0.805
26-Dec-00,0.616,0.003,0.043,0.662
26-Jan-01,0.595,0,0.055,0.65
26-Feb-01,0.578,0.001,0.079,0.658
26-Mar-01,0.612,0.004,0.374,0.99
26-Apr-01,0.513,0.003,0.438,0.954
26-May-01,0.205,0.025,2.777,3.007
26-Jun-01,0.182,0.013,2.966,3.161
26-Jul-01,0.41,0.036,2.493,2.939
26-Aug-01,0.858,0.074,1.827,2.759
26-Sep-01,1.07,0.082,1.849,3.001
26-Oct-01,1.032,0.009,0.425,1.466
26-Nov-01,0.755,0,0.067,0.822
26-Dec-01,0.642,0.001,0.106,0.749
26-Jan-02,0.593,0,0.021,0.614
26-Feb-02,0.589,0.001,0.067,0.657
26-Mar-02,0.605,0.002,0.237,0.844
26-Apr-02,0.57,0.008,1,1.578
26-May-02,0.266,0.047,2.158,2.471
26-Jun-02,0.34,0.032,2.913,3.285
26-Jul-02,0.449,0.091,2.002,2.542
26-Aug-02,0.999,0.053,2.046,3.098
26-Sep-02,1.135,0.037,1.46,2.632
26-Oct-02,0.862,0.004,0.664,1.53
26-Nov-02,0.738,0,0.059,0.797
26-Dec-02,0.607,0.001,0.048,0.656
26-Jan-03,0.586,0.003,0.23,0.819
26-Feb-03,0.575,0.001,0.159,0.735
26-Mar-03,0.589,0.003,0.385,0.977
26-Apr-03,0.539,0,0.142,0.681
26-May-03,0.258,0.026,1.811,2.095
26-Jun-03,0.134,0.034,2.592,2.76
26-Jul-03,0.309,0.048,2.51,2.867
26-Aug-03,0.645,0.051,2.425,3.121
26-Sep-03,0.978,0.022,2.194,3.194
26-Oct-03,0.717,0.004,0.284,1.005
26-Nov-03,0.488,0,0.041,0.529
26-Dec-03,0.441,0.001,0.271,0.713
26-Jan-04,0.48,0,0.023,0.503
26-Feb-04,0.546,0,0.009,0.555
26-Mar-04,0.533,0.001,0.352,0.886
26-Apr-04,0.465,0.018,1.832,2.315
26-May-04,0.358,0.034,2.959,3.351
26-Jun-04,0.376,0.058,2.491,2.925
26-Jul-04,0.452,0.09,2.163,2.705
26-Aug-04,1.042,0.12,1.961,3.123
26-Sep-04,1.279,0.036,1.828,3.143
26-Oct-04,0.934,0.01,0.335,1.279
26-Nov-04,0.838,0,0.081,0.919
26-Dec-04,0.734,0.002,0.052,0.788
26-Jan-05,0.705,0,0.272,0.977
26-Feb-05,0.692,0.001,0.13,0.823
26-Mar-05,0.704,0.007,0.632,1.343
26-Apr-05,0.707,0.006,0.655,1.368
26-May-05,0.452,0.024,2.186,2.662
26-Jun-05,0.251,0.079,2.093,2.423
26-Jul-05,0.518,0.05,2.007,2.575
26-Aug-05,0.978,0.244,1.541,2.763
26-Sep-05,1.474,0.066,1.628,3.168
26-Oct-05,1.142,0.004,0.892,2.038
26-Nov-05,0.878,0,0.149,1.027
26-Dec-05,0.808,0,0.02,0.828
26-Jan-06,0.761,0,0,0.761
26-Feb-06,0.728,0.006,0.521,1.255
26-Mar-06,0.76,0,0.198,0.958
26-Apr-06,0.725,0.026,0.609,1.36
26-May-06,0.657,0.065,2.616,3.338
26-Jun-06,0.482,0.1,2.301,2.883
26-Jul-06,0.548,0.172,1.697,2.417
26-Aug-06,1.319,0.198,1.754,3.271
26-Sep-06,1.588,0.075,1.462,3.125
26-Oct-06,1.206,0.028,0.994,2.228
26-Nov-06,1.017,0,0.212,1.229
26-Dec-06,0.88,0,0,0.88
26-Jan-07,0.766,0.001,0.056,0.823
26-Feb-07,0.79,0,0.038,0.828
26-Mar-07,0.83,0.004,0.228,1.062
26-Apr-07,0.8,0.005,0.458,1.263
26-May-07,0.529,0.108,2.87,3.507
26-Jun-07,0.44,0.073,2.317,2.83
26-Jul-07,0.67,0.196,1.893,2.759
26-Aug-07,1.201,0.247,1.553,3.001
26-Sep-07,1.661,0.019,1.449,3.129
26-Oct-07,1.084,0.008,0.586,1.678
26-Nov-07,0.882,0,0.048,0.93
26-Dec-07,0.841,0,0.028,0.869
26-Jan-08,0.74,0,0.004,0.744
26-Feb-08,0.756,0.008,0.315,1.079
26-Mar-08,0.835,0.003,0.902,1.74
26-Apr-08,0.753,0.002,0.282,1.037
26-May-08,0.323,0.022,2.159,2.504
26-Jun-08,0.276,0.045,2.375,2.696
26-Jul-08,0.455,0.058,2.362,2.875
26-Aug-08,1.199,0.235,2.25,3.684
26-Sep-08,1.566,0.04,1.539,3.145
26-Oct-08,1.059,0.013,0.52,1.592
26-Nov-08,0.911,0.002,0.418,1.331
26-Dec-08,0.86,0,0.01,0.87
26-Jan-09,0.774,0,0.002,0.776
26-Feb-09,0.761,0.002,0.174,0.937
26-Mar-09,0.784,0.001,0.224,1.009
