system:time_start,aet
"Jan 1, 1958",0.115
"Feb 1, 1958",0.067
"Mar 1, 1958",0.534
"Apr 1, 1958",0.83
"May 1, 1958",2.577
"Jun 1, 1958",2.137
"Jul 1, 1958",4.067
"Aug 1, 1958",3.913
"Sep 1, 1958",2.813
"Oct 1, 1958",2.568
"Nov 1, 1958",1.252
"Dec 1, 1958",0.172
"Jan 1, 1959",0.126
"Feb 1, 1959",0.065
"Mar 1, 1959",0.061
"Apr 1, 1959",0.752
"May 1, 1959",1.791
"Jun 1, 1959",4.226
"Jul 1, 1959",3.823
"Aug 1, 1959",3.295
"Sep 1, 1959",4.15
"Oct 1, 1959",3.606
"Nov 1, 1959",1.847
"Dec 1, 1959",0.39
"Jan 1, 1960",0.178
"Feb 1, 1960",0.102
"Mar 1, 1960",0.232
"Apr 1, 1960",0.309
"May 1, 1960",3.834
"Jun 1, 1960",2.613
"Jul 1, 1960",3.391
"Aug 1, 1960",1.461
"Sep 1, 1960",3.829
"Oct 1, 1960",2.916
"Nov 1, 1960",1.483
"Dec 1, 1960",0.277
"Jan 1, 1961",0.138
"Feb 1, 1961",0.09
"Mar 1, 1961",0.159
"Apr 1, 1961",0.735
"May 1, 1961",5.087
"Jun 1, 1961",4.391
"Jul 1, 1961",3.647
"Aug 1, 1961",2.954
"Sep 1, 1961",2.359
"Oct 1, 1961",3.774
"Nov 1, 1961",0.901
"Dec 1, 1961",0.305
"Jan 1, 1962",0.143
"Feb 1, 1962",0.116
"Mar 1, 1962",0.371
"Apr 1, 1962",0.862
"May 1, 1962",4.027
"Jun 1, 1962",1.995
"Jul 1, 1962",3.528
"Aug 1, 1962",3.242
"Sep 1, 1962",3.936
"Oct 1, 1962",2.969
"Nov 1, 1962",1.249
"Dec 1, 1962",2.137
"Jan 1, 1963",0.174
"Feb 1, 1963",0.254
"Mar 1, 1963",0.392
"Apr 1, 1963",0.565
"May 1, 1963",1.355
"Jun 1, 1963",4.071
"Jul 1, 1963",4.157
"Aug 1, 1963",3.639
"Sep 1, 1963",2.487
"Oct 1, 1963",3.03
"Nov 1, 1963",0.577
"Dec 1, 1963",0.182
"Jan 1, 1964",0.091
"Feb 1, 1964",0.073
"Mar 1, 1964",0.26
"Apr 1, 1964",0.291
"May 1, 1964",0.366
"Jun 1, 1964",2.906
"Jul 1, 1964",3.737
"Aug 1, 1964",3.179
"Sep 1, 1964",3.807
"Oct 1, 1964",3.303
"Nov 1, 1964",1.679
"Dec 1, 1964",0.569
"Jan 1, 1965",0.186
"Feb 1, 1965",0.11
"Mar 1, 1965",0.074
"Apr 1, 1965",0.982
"May 1, 1965",0.552
"Jun 1, 1965",2.322
"Jul 1, 1965",4.241
"Aug 1, 1965",3.598
"Sep 1, 1965",2.705
"Oct 1, 1965",0.681
"Nov 1, 1965",0.534
"Dec 1, 1965",1.398
"Jan 1, 1966",0.194
"Feb 1, 1966",0.052
"Mar 1, 1966",0.099
"Apr 1, 1966",0.2
"May 1, 1966",3.188
"Jun 1, 1966",1.825
"Jul 1, 1966",3.651
